"ID_N","CLIENT_ID","NAME_SURNAME","POSTAL_CODE","WC_N","AM_CG","TIME_REQUEST_ID","CENTRE_N","TO_FROM_CENTRE_I","CENTRE_WEEK_DAY","CENTRE_TIME_RANGE"
19,19,,"560205",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
18,18,,"560207",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
7,7,,"560214",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
20,20,,"560216",1,0,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
8,8,,"560219",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
17,17,,"560223",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
3,3,,"560301",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
42,42,,"560311",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
4,4,,"560322",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
43,43,,"560323",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
32,32,,"560330",0,1,3,"ABC","(1) To Centre","(1) Mon","1000-1100"
13,13,,"560336",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
37,37,,"560336",1,1,5,"ABC","(1) To Centre","(1) Mon","1300-1400"
5,5,,"560337",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
6,6,,"560343",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
33,33,,"560343",1,1,4,"ABC","(1) To Centre","(1) Mon","1100-1200"
2,2,,"560350",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
30,30,,"560411",0,2,3,"ABC","(1) To Centre","(1) Mon","1000-1100"
25,25,,"560416",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
34,34,,"560422",0,1,5,"ABC","(1) To Centre","(1) Mon","1300-1400"
36,36,,"560427",1,0,5,"ABC","(1) To Centre","(1) Mon","1300-1400"
27,27,,"560433",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
28,28,,"560433",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
26,26,,"560440",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
40,40,,"560442",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
41,41,,"560442",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
39,39,,"560444",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
22,22,,"560462",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
31,31,,"560470",1,0,3,"ABC","(1) To Centre","(1) Mon","1000-1100"
23,23,,"560472",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
24,24,,"560561",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
35,35,,"560576",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
21,21,,"560610",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
38,38,,"561307",0,2,5,"ABC","(1) To Centre","(1) Mon","1300-1400"
9,9,,"561309",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
14,14,,"570105",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
15,15,,"570124",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
16,16,,"570155",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
10,10,,"570225",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
29,29,,"570229",1,1,3,"ABC","(1) To Centre","(1) Mon","1000-1100"
11,11,,"570249",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
12,12,,"576076",0,1,2,"ABC","(1) To Centre","(1) Mon","0900-1000"
1,1,,"789452",0,1,1,"ABC","(1) To Centre","(1) Mon","0800-0900"
