CLIENT_ID, NAME_SURNAME,  POSTAL_CODE, WC_N, AM_CG, TIME_REQUEST_ID, CENTRE_N, TO_FROM_CENTRE_I, CENTRE_WEEK_DAY, CENTRE_TIME_RANGE, TRIP_NO, SEQ_N, VEHICLE_TYPE, WC_MAX, AM_CG_MAX
1,,789452,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,1,3,0,8
35,,560576,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,2,3,0,8
24,,560561,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,3,3,0,8
39,,560444,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,4,3,0,8
40,,560442,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,5,3,0,8
41,,560442,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,6,3,0,8
3,,560301,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,7,3,0,8
7,,560214,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,1,8,3,0,8
8,,560219,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,1,3,0,8
13,,560336,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,2,3,0,8
5,,560337,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,3,3,0,8
2,,560350,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,4,3,0,8
42,,560311,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,5,3,0,8
6,,560343,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,6,3,0,8
43,,560323,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,7,3,0,8
4,,560322,0,1,1,ABC,(1) To Centre,(1) Mon,0800-0900,2,8,3,0,8
20,,560216,1,0,2,ABC,(1) To Centre,(1) Mon,0900-1000,4,1,2,2,7
26,,560440,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,4,2,2,2,7
16,,570155,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,4,3,2,2,7
23,,560472,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,4,4,2,2,7
19,,560205,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,4,5,2,2,7
17,,560223,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,1,3,0,8
21,,560610,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,2,3,0,8
12,,576076,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,3,3,0,8
25,,560416,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,4,3,0,8
10,,570225,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,5,3,0,8
22,,560462,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,6,3,0,8
9,,561309,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,5,7,3,0,8
11,,570249,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,1,3,0,8
28,,560433,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,2,3,0,8
15,,570124,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,3,3,0,8
14,,570105,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,4,3,0,8
27,,560433,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,5,3,0,8
18,,560207,0,1,2,ABC,(1) To Centre,(1) Mon,0900-1000,6,6,3,0,8
29,,570229,1,1,3,ABC,(1) To Centre,(1) Mon,1000-1100,7,1,2,2,7
31,,560470,1,0,3,ABC,(1) To Centre,(1) Mon,1000-1100,7,2,2,2,7
30,,560411,0,2,3,ABC,(1) To Centre,(1) Mon,1000-1100,7,3,2,2,7
32,,560330,0,1,3,ABC,(1) To Centre,(1) Mon,1000-1100,7,4,2,2,7
33,,560343,1,1,4,ABC,(1) To Centre,(1) Mon,1100-1200,10,1,2,2,7
38,,561307,0,2,5,ABC,(1) To Centre,(1) Mon,1300-1400,13,1,2,2,7
37,,560336,1,1,5,ABC,(1) To Centre,(1) Mon,1300-1400,13,2,2,2,7
34,,560422,0,1,5,ABC,(1) To Centre,(1) Mon,1300-1400,13,3,2,2,7
36,,560427,1,0,5,ABC,(1) To Centre,(1) Mon,1300-1400,13,4,2,2,7
